SYMBOL,dataset_corr_count
AIFM1,3
AIFM2,3
AIG1,4
AIM2,2
AIMP1,6
AIP,4
AIPL1,1
AJAP1,1
AJUBA,3
AK1,1
AK2,6
AK3,4
AK4,1
AK5,3
AK6,8
AK7,2
AK8,3
AK9,4
AKAP1,6
AKAP10,5
AKAP11,4
AKAP12,3
AKAP13,2
AKAP17A,5
AKAP3,5
AKAP5,3
AKAP6,1
AKAP7,5
AKAP8,6
AKAP8L,5
AKAP9,5
AKIP1,4
AKIRIN1,8
AKIRIN2,7
AKNA,2
AKNAD1,2
AKR1A1,5
AKR1B1,2
AKR1B15,1
AKR1C1,1
AKR1C3,1
AKR1C6P,1
AKR1E2,5
AKR7A2,1
AKT1,4
AKT1S1,6
AKT2,6
AKT3,6
AKTIP,4
ALAS1,5
ALCAM,2
ALDH16A1,2
ALDH18A1,2
ALDH1A1,2
ALDH1A2,2
ALDH1A3,2
ALDH1B1,2
ALDH1L1,1
ALDH1L1-AS2,2
ALDH1L2,5
ALDH2,2
ALDH3A1,3
ALDH3A2,5
ALDH3B1,1
ALDH4A1,5
ALDH5A1,1
ALDH6A1,3
ALDH7A1,4
ALDH8A1,2
ALDH9A1,8
ALDOA,5
ALDOB,1
ALG1,3
ALG10,4
ALG10B,2
ALG11,4
ALG12,6
ALG13,7
ALG14,7
ALG1L,1
ALG1L2,1
ALG1L9P,2
ALG2,6
ALG3,3
ALG5,1
ALG6,3
ALG9,5
ALK,1
ALKBH1,1
ALKBH2,1
ALKBH3,1
ALKBH3-AS1,1
ALKBH5,6
ALKBH6,2
ALKBH7,5
ALKBH8,2
ALMS1,6
ALOX12-AS1,2
ALOX12B,2
ALOX15,1
ALOX15B,2
ALOX5,4
ALOX5AP,3
ALPK1,2
ALPK2,1
ALPK3,1
ALPL,2
ALS2,6
ALS2CL,1
ALX1,1
ALX4,1
ALYREF,7
AMACR,5
AMBP,1
AMBRA1,2
AMD1,5
AMDHD2,5
AMER1,3
AMFR,2
AMHR2,1
AMIGO2,2
AMMECR1,4
AMMECR1L,6
AMN1,5
AMOT,3
AMOTL1,6
AMOTL2,6
AMPD1,1
AMPD2,4
AMPD3,2
AMPH,1
AMT,6
AMY2B,1
AMZ2,4
AMZ2P1,5
ANAPC1,7
ANAPC10,7
ANAPC11,3
ANAPC13,4
ANAPC15,8
ANAPC16,6
ANAPC1P1,2
ANAPC2,6
ANAPC4,2
ANAPC5,4
ANAPC7,5
ANG,4
ANGEL1,4
ANGEL2,7
ANGPT1,1
ANGPT2,1
ANGPTL1,1
ANGPTL2,4
ANGPTL4,2
ANGPTL6,2
ANGPTL7,1
ANHX,2
ANK1,4
ANK2,1
ANK3,2
ANKAR,5
ANKDD1A,1
ANKDD1B,2
ANKEF1,3
ANKFN1,1
ANKFY1,5
ANKH,4
ANKHD1,4
ANKHD1-EIF4EBP3,7
ANKIB1,3
ANKK1,1
ANKLE2,5
ANKMY1,2
ANKMY2,5
ANKRA2,4
ANKRD1,2
ANKRD10,7
ANKRD11,6
ANKRD12,6
ANKRD13A,4
ANKRD13C,4
ANKRD13D,4
ANKRD17,7
ANKRD18B,6
ANKRD18CP,1
ANKRD18DP,1
ANKRD2,5
ANKRD20A1,1
ANKRD20A11P,1
ANKRD20A19P,2
ANKRD20A2,4
ANKRD20A3,1
ANKRD20A9P,1
ANKRD22,1
ANKRD23,2
ANKRD26,6
ANKRD26P1,3
ANKRD27,4
ANKRD28,5
ANKRD29,1
ANKRD30A,1
ANKRD33,1
ANKRD33B,4
ANKRD34A,3
ANKRD35,4
ANKRD36,4
ANKRD36B,6
ANKRD36BP2,1
ANKRD36C,6
ANKRD37,6
ANKRD40,5
ANKRD42,1
ANKRD44,3
ANKRD44-AS1,1
ANKRD44-IT1,1
ANKRD45,1
ANKRD46,2
ANKRD49,2
ANKRD50,6
ANKRD52,5
ANKRD53,1
ANKRD54,7
ANKRD55,2
ANKRD6,1
ANKRD62,1
ANKRD62P1-PARP4P3,1
ANKRD9,4
ANKS1A,4
ANKS1B,1
ANKS3,2
ANKS6,2
ANKUB1,1
ANKZF1,5
ANLN,2
ANO1,1
ANO10,4
ANO3,1
ANO4,1
ANO5,1
ANO6,5
ANO7,1
ANO8,2
ANOS1,2
ANP32A,2
ANP32B,6
ANP32C,1
ANP32E,5
ANPEP,1
ANTKMT,5
ANTXR1,2
ANTXR2,5
ANTXRL,3
ANXA1,2
ANXA10,1
ANXA11,5
ANXA13,2
ANXA2,3
ANXA2P3,1
ANXA3,5
ANXA4,7
ANXA5,5
ANXA6,3
ANXA7,6
ANXA9,1
AOC1,2
AOPEP,5
AOX1,2
AOX3P-AOX2P,1
AP1AR,6
AP1B1,2
AP1G1,6
AP1G2,4
AP1M1,5
AP1M2,1
AP1S1,2
AP1S2,2
AP1S3,6
AP2A1,3
AP2A2,4
AP2B1,6
AP2M1,3
AP2S1,5
AP3B1,5
AP3B2,2
AP3D1,6
AP3M1,6
AP3M2,2
AP3S1,5
AP3S2,4
AP4B1,4
AP4B1-AS1,5
AP4E1,7
AP4M1,3
AP4S1,6
AP5B1,3
AP5M1,4
AP5S1,6
AP5Z1,5
APBA1,1
APBA2,1
APBA3,4
APBB1,2
APBB1IP,2
APBB2,2
APBB3,4
APC,6
APCDD1,3
APCDD1L,1
APCDD1L-DT,1
APCS,1
APEH,5
APEX1,6
APEX2,2
APH1A,7
APH1B,4
API5,3
APIP,6
APLF,4
APLN,2
APLNR,1
APLP2,4
APMAP,5
APOA1-AS,1
APOBEC3A,1
APOBEC3B,5
APOBEC3D,4
APOBEC3F,3
APOBEC3G,5
APOBEC3H,2
APOC1,1
APOF,1
APOH,1
APOL1,1
APOL2,4
APOL3,2
APOL4,1
APOL6,6
APOLD1,6
APOM,5
APOO,2
APOOL,1
APOOP5,1
APP,5
APPBP2,6
APPL1,5
APPL2,3
APRT,2
APTR,5
APTX,5
AQP1,1
AQP11,5
AQP3,1
AQP4-AS1,2
AQP7,1
AQP7P3,1
AQR,4
AR,1
ARAF,5
ARAP1,2
ARAP2,3
ARAP3,2
ARCN1,6
AREG,1
AREL1,1
ARF1,7
ARF3,5
ARF4,6
ARF4-AS1,7
ARF5,3
ARF6,8
ARFGAP1,2
ARFGAP2,5
ARFGAP3,5
ARFGEF1,7
ARFGEF2,4
ARFGEF3,2
ARFIP1,5
ARFIP2,6
ARFRP1,3
ARG1,1
ARG2,2
ARGLU1,7
ARHGAP1,5
ARHGAP10,4
ARHGAP11A,1
ARHGAP11B,6
ARHGAP12,4
ARHGAP15,1
ARHGAP17,4
ARHGAP18,2
ARHGAP19,2
ARHGAP19-SLIT1,7
ARHGAP20,1
ARHGAP21,5
ARHGAP22,2
ARHGAP23,4
ARHGAP24,2
ARHGAP25,2
ARHGAP26,2
ARHGAP26-AS1,1
ARHGAP27,5
ARHGAP27P1-BPTFP1-KPNA2P3,1
ARHGAP27P2,3
ARHGAP28,1
ARHGAP29,5
ARHGAP30,1
ARHGAP31,6
ARHGAP31-AS1,6
ARHGAP32,1
ARHGAP33,2
ARHGAP35,4
ARHGAP4,5
ARHGAP42,2
ARHGAP44,1
ARHGAP5,5
ARHGAP6,1
ARHGDIA,7
ARHGDIB,1
ARHGEF1,3
ARHGEF10,2
ARHGEF10L,5
ARHGEF11,6
ARHGEF12,5
ARHGEF15,1
ARHGEF16,1
ARHGEF17,5
ARHGEF18,1
ARHGEF19,4
ARHGEF2,4
ARHGEF25,2
ARHGEF26,1
ARHGEF26-AS1,3
ARHGEF28,2
ARHGEF3,2
ARHGEF35-AS1,1
ARHGEF37,3
ARHGEF38,1
ARHGEF39,2
ARHGEF4,7
ARHGEF40,2
ARHGEF6,3
ARHGEF7,5
ARHGEF9,5
ARID1A,4
ARID1B,7
ARID2,2
ARID3A,3
ARID3B,3
ARID4A,3
ARID4B,4
ARID5A,6
ARID5B,3
ARIH1,4
ARIH2,7
ARIH2OS,8
ARL1,6
ARL10,3
ARL11,1
ARL13A,1
ARL13B,3
ARL14EP,3
ARL14EPL,1
ARL15,4
ARL17A,2
ARL17B,2
ARL2,8
ARL2-SNX15,8
ARL2BP,4
ARL3,4
ARL4A,6
ARL4C,3
ARL4D,2
ARL5A,4
ARL5B,2
ARL6,3
ARL6IP1,5
ARL6IP4,3
ARL6IP5,2
ARL6IP6,7
ARL8A,3
ARL8B,5
ARL9,1
ARLNC1,4
ARMC1,5
ARMC10,5
ARMC2,2
ARMC4,2
ARMC4P1,1
ARMC5,7
ARMC6,1
ARMC7,2
ARMC8,6
ARMC9,2
ARMCX1,2
ARMCX2,1
ARMCX3,4
ARMCX4,4
ARMCX5-GPRASP2,4
ARMCX6,1
ARMH1,6
ARMH3,6
ARMH4,4
ARMT1,2
ARNT,5
ARNT2,2
ARNTL,5
ARNTL2,3
ARPC1A,4
ARPC1B,4
ARPC2,4
ARPC3,5
ARPC4,8
ARPC4-TTLL3,9
ARPC5,5
ARPC5L,7
ARPIN,5
ARPIN-AP3S2,6
ARPP19,6
ARPP21,1
ARRB1,2
ARRB2,3
ARRDC1,3
ARRDC2,2
ARRDC3,1
ARRDC3-AS1,5
ARRDC4,4
ARSA,1
ARSB,5
ARSD,5
ARSD-AS1,1
ARSG,4
ARSI,2
ARSJ,4
ARSK,2
ARSL,2
ART3,1
ART4,1
ARTN,1
ARV1,3
ARVCF,4
ARX,1
AS3MT,1
ASAH1,2
ASAH2B,2
ASAP1,5
ASAP1-IT2,2
ASAP2,4
ASAP3,3
ASB1,7
ASB10,1
ASB13,2
ASB16,2
ASB16-AS1,7
ASB18,1
ASB3,4
ASB4,1
ASB5,1
ASB6,2
ASB7,3
ASB8,2
ASB9,1
ASB9P1,3
ASCC1,6
ASCC2,5
ASCC3,5
ASCL2,1
ASCL5,2
ASDURF,3
ASF1A,1
ASF1B,1
ASH1L,6
ASH1L-AS1,4
ASH2L,5
ASIC1,1
ASIC2,1
ASIP,2
ASL,4
ASMT,1
ASMTL,3
ASNS,6
ASNSD1,1
ASPH,3
ASPHD2,2
ASPM,3
ASPRV1,1
ASPSCR1,6
ASRGL1,2
ASS1,2
ASTE1,5
ASTN2,2
ASTN2-AS1,1
ASXL1,6
ASXL2,7
ASXL3,1
ATAD1,1
ATAD2,6
ATAD2B,7
ATAD3A,7
ATAD3B,2
ATAD3C,1
ATAD5,3
ATAT1,6
ATE1,4
ATE1-AS1,7
ATF1,5
ATF2,4
ATF3,5
ATF4,7
ATF5,6
ATF6,4
ATF6B,2
ATF7,6
ATF7IP,5
ATF7IP2,3
ATG10,6
ATG101,7
ATG13,3
ATG14,4
ATG16L1,3
ATG16L2,6
ATG2A,3
ATG2B,5
ATG3,1
ATG4A,4
ATG4B,6
ATG4C,5
ATG4D,5
ATG5,7
ATG7,5
ATG9A,2
ATIC,6
ATL1,3
ATL2,8
ATL3,7
ATM,6
ATMIN,3
ATN1,6
ATOH7,2
ATOH8,3
ATOX1,3
ATP10A,1
ATP10B,1
ATP10D,4
ATP11A,2
ATP11A-AS1,1
ATP11B,5
ATP11C,6
ATP13A1,3
ATP13A2,3
ATP13A3,6
ATP13A4,1
ATP1A1,4
ATP1A1-AS1,4
ATP1A4,1
ATP1B1,2
ATP1B3,6
ATP23,3
ATP2A1-AS1,1
ATP2A2,7
ATP2B1,5
ATP2B1-AS1,3
ATP2B2,1
ATP2B4,2
ATP2C1,6
ATP2C2,2
ATP5F1A,4
ATP5F1B,4
ATP5F1C,3
ATP5F1D,2
ATP5F1E,6
ATP5IF1,3
ATP5MC1,4
ATP5MC2,4
ATP5MC3,4
ATP5MD,4
ATP5MF,6
ATP5MF-PTCD1,5
ATP5MG,7
ATP5MPL,4
ATP5PB,3
ATP5PD,5
ATP5PF,2
ATP5PO,2
ATP6AP1,1
ATP6AP1L,2
ATP6AP2,4
ATP6V0A1,3
ATP6V0A2,3
ATP6V0A4,1
ATP6V0B,4
ATP6V0C,5
ATP6V0D1,3
ATP6V0D2,1
ATP6V0E1,5
ATP6V0E2,7
ATP6V1A,1
ATP6V1B1-AS1,4
ATP6V1B2,3
ATP6V1C1,3
ATP6V1D,3
ATP6V1E2,5
ATP6V1F,1
ATP6V1G1,5
ATP6V1G2,2
ATP6V1G2-DDX39B,4
ATP6V1G3,1
ATP6V1H,5
ATP7A,2
ATP7B,4
ATP8A1,3
ATP8A2,1
ATP8B1,2
ATP8B2,2
